"","State","Report_year","gdp","Assaults","Assaults_percapita","Crimes_percapita","Homicides","Homicides_Percapita","Population","Rapes","Rapes_percapita","Robberies","Robberies_percapita","Violent_crimes","total_crime_rate","assault_rate","rape_rate","robbery_rate","homicide_rate"
"31","Hawaii","2011",70482.6,1332,138.25,245.99,14,1.45,963465,203,21.07,821,85.21,2370,0.00245987140165963,0.00138251000295807,0.000210697845796163,0.000852132666988422,1.45308859169767e-05
"32","Hawaii","2012",73583,1246,127.68,239.37,11,1.13,975875,165,16.91,914,93.66,2336,0.0023937491994364,0.00127680286921993,0.000169079031638273,0.000936595363135647,1.12719354425516e-05
"33","Hawaii","2013",75788,1294,131.41,231.14,18,1.83,984683,221,22.44,743,75.46,2276,0.00231140377156912,0.00131412850633148,0.000224437712441466,0.000754557558117689,1.82799946784904e-05
"34","Hawaii","2014",77972.5,1166,117.3,228.66,19,1.91,994034,320,32.19,768,77.26,2273,0.00228664210680922,0.0011729981067046,0.000321920578169358,0.00077260938760646,1.91140343288057e-05
"35","Hawaii","2015",82739.9,1208,120.88,243.87,15,1.5,999307,318,31.82,896,89.66,2437,0.00243869001217844,0.00120883772454311,0.00031822052682509,0.000896621358601511,1.50104022087306e-05
"36","Illinois","2011",688288.9,12408,458.92,1045.71,431,15.94,2703713,1459,53.96,13975,516.88,28273,0.0104571010310636,0.00458924449451551,0.000539628281552073,0.00516881784420166,0.000159410410794341
"37","Illinois","2012",720702,12272,453.11,1019.8,500,18.46,2708382,1372,50.66,13476,497.57,27620,0.0101979705964668,0.00453111857928461,0.000506575512612327,0.00497566443729134,0.000184612067278545
"38","Illinois","2013",739628,12108,445.06,944.22,416,15.29,2720554,1338,49.18,11826,434.69,25688,0.00944219449420964,0.00445056411304462,0.00049181159425617,0.00434690875461395,0.000152910032294893
"39","Illinois","2014",765910.2,12530,459.96,885.9,415,15.23,2724121,1388,50.95,9800,359.75,24133,0.00885900442748321,0.00459964884085545,0.000509522154118705,0.00359749071351823,0.000152342718990823
"40","Illinois","2015",791625.9,13104,480.23,903.84,478,17.52,2728695,1432,52.48,9649,353.61,24663,0.00903838648144992,0.00480229560284312,0.000524792987123882,0.00353612257874185,0.000175175312741072
"41","Indiana","2011",288749.1,5267,632.27,1100.81,96,11.52,833024,435,52.22,3372,404.79,9170,0.011008086201598,0.00632274700368777,0.000522193838352797,0.00404790258143823,0.000115242778119238
"42","Indiana","2012",297553,5967,711.5,1185.48,97,11.57,838650,436,51.99,3442,410.42,9942,0.0118547665891612,0.00711500626006081,0.000519883145531509,0.00410421510761343,0.000115662075955405
"43","Indiana","2013",308682,5894,693.23,1232.5,129,15.17,850220,656,77.16,3800,446.94,10479,0.0123250452823975,0.00693232339864976,0.000771565006704147,0.00446943144127402,0.000151725435769566
"44","Indiana","2014",325040.6,6251,728.35,1254.66,136,15.85,858238,573,66.76,3808,443.7,10768,0.0125466362477541,0.00728352741314181,0.000667646969721686,0.00443699766265302,0.000158464202237608
"45","Indiana","2015",330026.5,6497,752.25,1287.98,148,17.14,863675,677,78.39,3802,440.21,11124,0.0128798448490462,0.00752250557211914,0.000783859669435841,0.00440211885257765,0.000171360754913596
"46","Kansas","2011",135315.3,2203,572.51,770.02,25,6.5,384796,245,63.67,490,127.34,2963,0.00770018399359661,0.0057251114876454,0.000636701005207954,0.00127340201041591,6.49694903273423e-05
"47","Kansas","2012",140478,2135,552.52,749.46,23,5.95,386409,242,62.63,496,128.36,2896,0.00749464945174672,0.00552523362551079,0.000626279408605907,0.00128361399449806,5.95224231319664e-05
"48","Kansas","2013",143221,2337,604.68,794.08,15,3.88,386486,250,64.69,467,120.83,3069,0.00794077922615567,0.00604679082812831,0.000646853961074916,0.00120832319928794,3.8811237664495e-05
"49","Kansas","2014",148276.1,2179,562.33,758.47,21,5.42,387493,243,62.71,496,128,2939,0.00758465314212128,0.00562332738913993,0.000627108102597982,0.00128002312299835,5.41945273850108e-05
"50","Kansas","2015",151679.9,2730,700.32,984.8,27,6.93,389824,349,89.53,733,188.03,3839,0.00984803398456739,0.00700316040059104,0.000895275816778854,0.00188033574125759,6.92620259399113e-05
"51","Kentucky","2011",169940.7,2168,325.94,614.3,48,7.22,665152,227,34.13,1643,247.01,4086,0.0061429567978447,0.00325940536899836,0.000341275377658039,0.00247011209467911,7.21639565091889e-05
"52","Kentucky","2012",176302,2350,352.75,598.77,62,9.31,666200,183,27.47,1394,209.25,3989,0.00598769138396878,0.00352746922845992,0.000274692284599219,0.00209246472530772,9.30651456019213e-05
"53","Kentucky","2013",182359,2009,299.35,542.97,48,7.15,671120,160,23.84,1427,212.63,3644,0.00542972940755752,0.002993503397306,0.000238407438312075,0.00212629634044582,7.15222314936226e-05
"54","Kentucky","2014",186694.5,2233,329.49,592.44,56,8.26,677710,194,28.63,1532,226.06,4015,0.00592436292809609,0.00329491965590002,0.000286258134010122,0.00226055392424488,8.26312139410662e-05
"55","Kentucky","2015",191916.4,2469,362.79,631.84,81,11.9,680550,205,30.12,1545,227.02,4300,0.00631841892586878,0.00362794798324884,0.000301226948791419,0.00227022261406216,0.000119021379766365
"56","Louisiana","2011",228987.5,1326,382.16,791.99,200,57.64,346974,163,46.98,1059,305.21,2748,0.00791990177938405,0.00382161199398226,0.000469775833347744,0.00305210188659669,0.000576412065457354
"57","Louisiana","2012",233623,1564,431,815.16,193,53.19,362874,136,37.48,1065,293.49,2958,0.00815158980803254,0.00431003599045399,0.000374785738300347,0.00293490302419021,0.000531865055087992
"58","Louisiana","2013",228967,1495,396.53,786.43,156,41.38,377022,176,46.68,1138,301.84,2965,0.00786426256292736,0.00396528584538833,0.000466816260059095,0.00301839149970028,0.000413768957779652
"59","Louisiana","2014",237876.9,1906,492.36,973.88,150,38.75,387113,244,63.03,1470,379.73,3770,0.00973875845037495,0.00492362695130362,0.000630306912968565,0.00379734082813029,0.000387483757972478
"60","Louisiana","2015",234440.9,1666,423.44,949.56,164,41.68,393447,409,103.95,1497,380.48,3736,0.00949556102855022,0.00423436955930532,0.00103953010189428,0.00380483267123653,0.000416828696114089
"61","Maryland","2011",328058.4,9964,1441.16,2721.64,322,48.71,3066499,747,106.37,7796,1125.38,18829,0.00614022701458569,0.00324930808717042,0.000243600275101997,0.00254231291123852,0.000105005741074757
"62","Maryland","2012",334822,9875,1412.42,2684.64,303,46.19,3094341,709,100.43,7797,1125.59,18684,0.00603811926352008,0.00319130955508782,0.000229127946790609,0.00251976107352099,9.79206881206693e-05
"63","Maryland","2013",341255,9499,1356.74,2595.59,312,48.17,3120360,702,97.91,7585,1092.76,18098,0.00579997179812586,0.00304420002820187,0.000224974041456755,0.00243080926559756,9.99884628696689e-05
"64","Maryland","2014",352524.3,8985,1269.88,2448.65,292,44.23,3146751,632,87.74,7270,1046.81,17179,0.00545928165272689,0.00285532601721585,0.000200842074889306,0.00231031943741338,9.27941232083505e-05
"65","Maryland","2015",367276.7,7241,1076.19,2205.74,439,67.87,2315619,804,109.05,6278,952.63,14762,0.00637496928467075,0.00312702564627428,0.000347207377379439,0.00271115412336831,0.000189582137648724
"66","Massachusetts","2011",425593.2,3014,485.07,845.24,63,10.14,621359,271,43.61,1904,306.43,5252,0.00845244053759582,0.00485065799320522,0.000436140781738093,0.00306425110121524,0.000101390661437269
"67","Massachusetts","2012",444330,3050,483.63,835.01,57,9.04,630648,249,39.48,1910,302.86,5266,0.00835014144181857,0.0048362953660362,0.000394831982341972,0.00302863086856693,9.03832248734635e-05
"68","Massachusetts","2013",454346,2851,442.84,782.39,39,6.06,643799,279,43.34,1868,290.15,5037,0.00782387049374106,0.00442840078968746,0.000433365072017819,0.00290152671874296,6.05779132928134e-05
"69","Massachusetts","2014",473454.4,2736,418.08,725.69,53,8.1,654413,280,42.79,1680,256.72,4749,0.0072568851780145,0.00418084604065017,0.000427864360885251,0.00256718616531151,8.09886111675654e-05
"70","Massachusetts","2015",502816.9,2873,431.86,706.79,38,5.71,665258,240,36.08,1551,233.14,4702,0.00706793454569505,0.00431862525516416,0.000360762290720292,0.00233142630377989,5.71206960307129e-05
"71","Michigan","2011",401105.4,9508,1333.07,2138.69,344,48.23,713239,426,59.73,4976,697.66,15254,0.0213869404224951,0.0133307348588622,0.000597275247147169,0.00697662354414159,0.000482306772344193
"72","Michigan","2012",418857,9345,1321.6,2124.61,386,54.59,707096,442,62.51,4850,685.9,15023,0.021246054284001,0.0132160272438254,0.00062509192528313,0.00685904035661353,0.000545894758278932
"73","Michigan","2013",432718,8801,1257.49,2071.9,316,45.15,699889,613,87.59,4771,681.68,14501,0.0207189997270996,0.0125748511549689,0.00087585317100283,0.00681679523467293,0.000451500166454966
"74","Michigan","2014",448964.4,9194,1342.79,1989.5,298,43.52,684694,557,81.35,3573,521.84,13622,0.0198950187967179,0.0134278962573062,0.000813502089984723,0.00521838952875299,0.000435230920674053
