"","State","Report_year","gdp","Assaults","Assaults_percapita","Crimes_percapita","Homicides","Homicides_Percapita","Population","Rapes","Rapes_percapita","Robberies","Robberies_percapita","Violent_crimes","total_crime_rate","assault_rate","rape_rate","robbery_rate","homicide_rate"
"138","Tennessee","2014",304150.4,12704,1948.68,2869.11,181,27.7,1302611,1010,155.06,4814,737.66,18709,0.0143626915479756,0.00975271972983492,0.000775365784566536,0.00369565434346862,0.000138951690105488
"139","Tennessee","2015",322893.1,12472,1895.52,2841.16,207,31.46,1315965,1037,157.6,4978,756.57,18694,0.0142055449802996,0.00947745570740863,0.000788014878815166,0.00378277537776461,0.000157299016311224
"140","Texas","2011",1331220.6,28614,2489.95,4143.47,536,45.08,7321721,2609,249.39,17282,1359.07,49041,0.00669801539829229,0.00390809756340074,0.00035633698689147,0.00236037401589053,7.32068321095546e-05
"141","Texas","2012",1411379,27833,2409.66,4093.61,577,46.39,7456778,2619,248.15,18603,1389.38,49632,0.00665595784130894,0.00373257726058091,0.000351224080963655,0.00249477723488617,7.73792648782088e-05
"142","Texas","2013",1502250,27363,2323.58,4039.4,532,41.8,7542026,2854,265.27,19324,1408.75,50073,0.00663919747823728,0.0036280702294052,0.000378412909210337,0.00256217626404364,7.05380755781006e-05
"143","Texas","2014",1565390.2,27095,2257.88,4026.33,580,43.83,7692874,4352,410.38,18740,1314.23,50767,0.00659922416511696,0.00352209070368239,0.000565718351814939,0.002436020660159,7.53944494606307e-05
"144","Texas","2015",1568641.9,27666,2259.24,4014.62,637,43.93,7882885,4350,389.74,19290,1321.69,51943,0.00658933880172044,0.0035096287716997,0.000551828423223223,0.00244707362850023,8.08079782972858e-05
"145","Utah","2011",124539.4,753,396.24,647.24,7,3.68,190038,128,67.35,342,179.96,1230,0.0064723897325798,0.00396236542165251,0.000673549500626191,0.0017996400719856,3.68347383154948e-05
"146","Utah","2012",128721,854,443.72,676.49,8,4.16,192465,123,63.91,317,164.71,1302,0.00676486633933442,0.0044371703946172,0.000639077234821916,0.0016470527108825,4.15659990128075e-05
"147","Utah","2013",134252,846,444.69,781.62,7,3.68,190246,213,111.96,421,221.29,1487,0.00781619587271217,0.00444687404728615,0.00111960304027417,0.00221292431903956,3.67944661122967e-05
"148","Utah","2014",141342.9,773,401.83,754.8,7,3.64,192368,223,115.92,449,233.41,1452,0.007548032936871,0.00401833984862347,0.00115923646344506,0.00233406803626383,3.63885885386343e-05
"149","Utah","2015",149576.7,874,455.23,855.24,8,4.17,191992,291,151.57,469,244.28,1642,0.00855243968498687,0.00455227301137547,0.00151568815367307,0.00244281011708821,4.16684028501188e-05
"150","Virginia","2011",432392.7,675,101.92,263.88,26,4.42,1498430,165,24.15,836,133.4,1702,0.0011358555287868,0.000450471493496526,0.000110115253965818,0.000557917286760142,1.73514945643106e-05
"151","Virginia","2012",444950,730,113.1,247.77,37,6.18,1520311,172,23.45,670,105.03,1609,0.00105833609044465,0.000480164913626225,0.000113134746772206,0.000440699304287083,2.43371257591374e-05
"152","Virginia","2013",455070,681,97.45,255.85,29,4.87,1541908,319,48.38,714,105.15,1743,0.00113041763840644,0.000441660591941932,0.000206886532789246,0.000463062647058061,1.88078666172041e-05
"153","Virginia","2014",463781.7,685,99.49,235.81,27,4.68,1552802,274,39.92,650,91.73,1636,0.00105357927153623,0.000441138020172565,0.000176455208069026,0.000418598121331631,1.73879219630062e-05
"154","Virginia","2015",484690.5,621,86.81,226.66,33,5.47,1554497,233,34.55,713,99.84,1600,0.00102927184806404,0.000399486136029854,0.000149887712874325,0.000458669267293536,2.12287318663207e-05
"155","Washington","2011",379539,2126,343.9,592.68,20,3.24,618209,100,16.18,1418,229.37,3664,0.00592679821872538,0.00343896643368181,0.000161757593305824,0.00229372267307658,3.23515186611648e-05
"156","Washington","2012",400863,2198,350.63,603.32,25,3.99,626865,123,19.62,1436,229.08,3782,0.00603319694033006,0.00350633709012307,0.000196214495944103,0.00229076435915229,3.988099511059e-05
"157","Washington","2013",419345,1986,308.95,584.93,18,2.8,642814,154,23.96,1602,249.22,3760,0.00584928144066557,0.00308954067584091,0.000239571633474069,0.00249216725211336,2.80018792372288e-05
"158","Washington","2014",442442.4,2258,340.36,603.7,26,3.92,663410,154,23.21,1567,236.2,4005,0.00603699069956739,0.00340362671651015,0.000232133974465263,0.00236203855835758,3.9191450234395e-05
"159","Washington","2015",469944,2394,350.15,598.65,23,3.36,683700,144,21.06,1532,224.07,4093,0.00598654380576276,0.00350153576129882,0.000210618692408951,0.0022407488664619,3.36404855930964e-05
"160","Wisconsin","2011",263881.6,3255,544.84,1110.93,86,14.4,597426,205,34.31,3091,517.39,6637,0.0111093256738073,0.00544837352241114,0.000343138731826201,0.00517386253695018,0.000143950882619772
"161","Wisconsin","2012",274344,4508,752.09,1323.33,93,15.52,599395,234,39.04,3097,516.69,7932,0.013233343621485,0.0075209169245656,0.000390393646927318,0.00516687660057224,0.000155156449419832
"162","Wisconsin","2013",282385,4405,733.18,1363.84,104,17.31,600805,401,66.74,3284,546.6,8194,0.0136383685222327,0.00733182979502501,0.000667437854212265,0.00546599978362364,0.00017310108937176
"163","Wisconsin","2014",293519.4,4877,812.33,1484.74,86,14.32,600374,396,65.96,3555,592.13,8914,0.0148474117799905,0.00812326982847359,0.000659588856279586,0.00592130905069174,0.000143244044545567
"164","Wisconsin","2015",304763.9,5253,874.92,1596.1,145,24.15,600400,436,72.62,3749,624.42,9583,0.0159610259826782,0.0087491672218521,0.00072618254497002,0.00624417055296469,0.000241505662891406
